# BEGIN PLOT
LegendOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BCstar/h_rap
DrawOnly=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BCstar/h_rap
Legend=1
LogY=1
# END PLOT

# BEGIN HISTO1D //mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BCstar/h_rap
LineColor=red
LineStyle=solid
Path=//mt/home/fpauwels/Desktop/Project_Repo/LHC.yoda/MC_BCstar/h_rap
ScaledBy=2.68025073517944293e+03
Title=LHC
# xlow	 xhigh	 val	 errminus	 errplus
-1.000000e+01	-9.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.800000e+00	-9.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.600000e+00	-9.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.400000e+00	-9.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.200000e+00	-9.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-9.000000e+00	-8.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.800000e+00	-8.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.600000e+00	-8.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.400000e+00	-8.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.200000e+00	-8.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-8.000000e+00	-7.800000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.800000e+00	-7.600000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.600000e+00	-7.400000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.400000e+00	-7.200000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.200000e+00	-7.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
-7.000000e+00	-6.800000e+00	1.340125e+04	1.340125e+04	1.340125e+04
-6.800000e+00	-6.600000e+00	1.340125e+04	1.340125e+04	1.340125e+04
-6.600000e+00	-6.400000e+00	1.340126e+04	1.340125e+04	1.340125e+04
-6.400000e+00	-6.200000e+00	9.380880e+04	3.545639e+04	3.545639e+04
-6.200000e+00	-6.000000e+00	3.216301e+05	6.565248e+04	6.565248e+04
-6.000000e+00	-5.800000e+00	4.690439e+05	7.928288e+04	7.928288e+04
-5.800000e+00	-5.600000e+00	6.432600e+05	9.284661e+04	9.284661e+04
-5.600000e+00	-5.400000e+00	1.500941e+06	1.418255e+05	1.418255e+05
-5.400000e+00	-5.200000e+00	2.036990e+06	1.652217e+05	1.652217e+05
-5.200000e+00	-5.000000e+00	2.948276e+06	1.987727e+05	1.987727e+05
-5.000000e+00	-4.800000e+00	4.610031e+06	2.485562e+05	2.485562e+05
-4.800000e+00	-4.600000e+00	5.923355e+06	2.817452e+05	2.817452e+05
-4.600000e+00	-4.400000e+00	7.397490e+06	3.148582e+05	3.148582e+05
-4.400000e+00	-4.200000e+00	9.863325e+06	3.635669e+05	3.635669e+05
-4.200000e+00	-4.000000e+00	1.109624e+07	3.856209e+05	3.856209e+05
-4.000000e+00	-3.800000e+00	1.325384e+07	4.214476e+05	4.214476e+05
-3.800000e+00	-3.600000e+00	1.589389e+07	4.615171e+05	4.615171e+05
-3.600000e+00	-3.400000e+00	1.811849e+07	4.927581e+05	4.927581e+05
